# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	25120
#@/user_id	rime
a 	啊	c=122 d=2.11641 t=25120
a 	阿	c=1 d=1.60185e-43 t=25120
a ba 	阿壩	c=1 d=1.09511e-10 t=25120
a bu jia 	阿布加	c=0 d=9.13746e-29 t=25120
a bu jia er 	阿布加爾	c=1 d=9.18326e-28 t=25120
a da fa 	啊大法	c=1 d=2.99112e-37 t=25120
a di 	阿迪	c=1 d=1.35778e-10 t=25120
a er sa si 	阿爾薩斯	c=1 d=2.04558e-08 t=25120
a fei 	阿飛	c=1 d=1.00655e-18 t=25120
a hong 	阿訇	c=1 d=5.91757e-05 t=25120
a la xi 	阿拉希	c=1 d=1.37166e-12 t=25120
a li 	阿里	c=4 d=5.49274e-05 t=25120
a sen na 	阿森納	c=3 d=0.000107825 t=25120
a shen lan 	阿什蘭	c=2 d=2.32823e-23 t=25120
a si dun 	阿斯頓	c=0 d=0.0056699 t=25120
a si dun fen shi an di fang 	阿斯頓分屍案地方	c=1 d=0.0569831 t=25120
a si lan 	阿斯蘭	c=1 d=1.39258e-43 t=25120
a xu 	啊虛	c=1 d=5.65411e-28 t=25120
a yi 	阿姨	c=1 d=5.20327e-21 t=25120
ai 	唉	c=3 d=1.89577e-25 t=25120
ai 	埃	c=2 d=1.03523e-25 t=25120
ai 	愛	c=6 d=0.00632918 t=25120
ai 	捱	c=1 d=1.46224e-29 t=25120
ai 	癌	c=0 d=0.0955997 t=25120
ai 	艾	c=1 d=2.52093e-26 t=25120
ai bi an 	艾比安	c=1 d=2.53356e-25 t=25120
ai de 	愛得	c=1 d=1.07324e-08 t=25120
ai lei la 	埃雷拉	c=1 d=0.148823 t=25120
ai mo neng zhu 	愛莫能助	c=1 d=5.312e-29 t=25120
ai qing 	愛情	c=1 d=7.9068e-32 t=25120
ai ren 	矮人	c=2 d=0.000881709 t=25120
ai ri 	愛日	c=1 d=1.62833e-30 t=25120
an 	安	c=3 d=9.16267e-31 t=25120
an 	按	c=7 d=2.94769e-12 t=25120
an jian 	安檢	c=1 d=2.80966e-36 t=25120
an li 	案例	c=1 d=3.45128e-44 t=25120
an mu 	暗牧	c=2 d=8.5965e-08 t=25120
an pai 	安排	c=1 d=0.0332068 t=25120
an pai pao le 	安排跑了	c=1 d=5.80415e-42 t=25120
an quan 	安全	c=6 d=8.61785e-13 t=25120
an quan cuo shi 	安全措施	c=1 d=0.000796726 t=25120
an quan tao 	安全套	c=1 d=2.54229e-36 t=25120
an quan zhi shang 	安全至上	c=1 d=7.60348e-13 t=25120
an xin 	安心	c=4 d=1.59668e-05 t=25120
an yue 	暗月	c=1 d=4.11425e-23 t=25120
an zhao 	按照	c=10 d=0.0230532 t=25120
an zhuang 	安裝	c=12 d=8.83045e-13 t=25120
ao cun 	澳村	c=2 d=0.239309 t=25120
ao di 	奧迪	c=1 d=1.37971e-22 t=25120
